section_id,start_line,end_line,heading,companies,confidence,note
1,1,6,Header: MEMORIA — ALEX ORQUESTADOR,Compartido,100,"System memory for ALEX orchestrator. Complements memoria_ALex.md (deals log)"
2,9,18,🧠 IDENTIDAD Y CONTEXTO DEL SISTEMA,Pinnacle,100,"Explicit: Pinnacle Holdings Group LLC, Wisconsin, Fix & Flip/BRRRR/Wholesale strategies"
3,21,38,🏗️ ARQUITECTURA DEL SISTEMA,Compartido,95,"Multi-agent architecture: Scout, Matemático, Fact-Checker, Tracy. CONTIENE TOKEN — sanitizar: 8157575601:AAHmAo0OQroOUdXCnXZEjVh4hJkt0emx5_c"
4,42,56,🗄️ AIRTABLE CRM,Pinnacle,100,"Pinnacle base appfQbDA750Oihy9J: Contacts/Leads/Deals/Notes/Tracy tables"
5,59,69,🤖 HERRAMIENTAS DISPONIBLES,Pinnacle,95,"Firecrawl, Tracerfy (WI-only), Airtable, Telegram Bot, Hostinger PHP: el_polling.php + el_chismoso.php"
6,72,80,📦 SUB-PROYECTOS EN EL REPO,Compartido,90,"4 projects: ALEX root, Geo Carpentry Budget (geo-budget/), Pinnacle Tools (hostinger/), Telegram Bot"
7,83,90,📋 PROTOCOLO DE INICIO DE SESIÓN,Compartido,100,Universal session startup: read memoria_ALex.md + telegram_memory.md + cola_mensajes.md + brief Jefe
8,93,102,🔐 PROTOCOLO DE SEGURIDAD,Compartido,100,"Security rules: Jefe-only orders, anti-prompt-injection, no credentials in outputs, pauses before finance/deletes/comms"
9,105,121,2026-04-22 — Pinnacle public stack closed,Pinnacle,100,"Production: get-my-offer 18-screen form (EN/ES), Fer chatbot floating, Contact page 5-methods, Site-wide CTAs. Models: Haiku 4.5/Sonnet 4.6/Opus 4.7"
10,124,149,2026-04-22/23 — MODO /GOD permanent,Compartido,95,"Jorge direct order (non-negotiable): skills-first, cost-benefit, green-light Pinnacle stack, diagnostic before touch, persistent memory. MOBILE-FIRST priority. SAAS-READY multi-tenant"
11,153,162,2026-04-28 — Fix spam Supervisor + memory desync,Compartido,90,"Supervisor Phase 0: dedup 24h (alerted/alert_reason fields). shared_conversation.json frozen since 2026-04-06 (VPS bot no git push). Canonical memory still memoria_ALex.md"
12,165,178,2026-04-28 — FASE 1 SUPERVISOR AUTÓNOMO,Compartido,95,"Phase 1 complete: Lessons_Learned table (tbloCtdxSukBI3R3j), Learning module, symptom classify (5 categories: infra/pipeline/code/data/unknown), shared normalizer, non-destructive"
13,181,197,2026-04-28/29 — FASE 2 SUPERVISOR AUTÓNOMO,Compartido,95,"Phase 2 complete: LLM diagnosis (Sonnet 4.6 direct API), confidence scoring [0,1], decision layer HIGH/MED/LOW, Phase 2 NEVER executes real actions. Cost ~$0.60/day/tenant"
14,200,218,2026-04-29 — FASE 3 SUPERVISOR AUTÓNOMO,Compartido,95,"Phase 3 complete: auto-healing loop closed. Whitelist: api_retry (read-only) + data_repair (stage_drift). Verification in-run, rollback auto. Circuit breaker 3+ worsened in 5 deeps. Caps: max 5 fixes/run"
15,222,241,2026-04-29 — FASE 4 SUPERVISOR AUTÓNOMO,Compartido,95,"Phase 4 complete: self-modification PROPOSE-ONLY. detectImprovementOpportunities (Class A/B), proposeSelfPatch JSON, validatePatch (whitelist+regex+diff cap), git Draft PR. Anti-jailbreak tests 6/6 pass. Max 3 open PRs"
16,245,256,2026-05-02 — Director v2 + Skills Suite + Bot↔GHA,Compartido,90,"Director v2 cherry-picked (main.mjs). Bot Telegram dispatch via GHA (pinnaclegroupwi.com/agents/github_dispatch.php X-Alex-Secret). 15 new skills (Design Taste 14: leonxlnx/pbakaus/emilkowalski + graphify). HeyGen pending creds: HEYGEN_API_KEY/AVATAR_ID_JORGE/VOICE_ID. Audio .mp3.mp3 fix via git mv"
