section_id,start_line,end_line,heading,companies,confidence,note
S01,1,15,"# CLAUDE.md — ALEX: AI Real Estate Investment Analyst (identidad principal)","Pinnacle",high,"Define ALEX como real estate analyst Wisconsin — Pinnacle puro. InvestorOS necesita su propia identidad como SaaS multi-tenant."
S02,17,22,"## MODO /GOD — header","Pinnacle;InvestorOS",high,"Modo de operación universal del asistente — aplica a cualquier instancia ALEX."
S03,23,44,"### 1. Skills-first (lista de skills + tabla de activación)","Pinnacle;InvestorOS",high,"Reglas universales de invocación de skills. Aplica en ambos repos."
S04,46,47,"### 1c. SAAS-READY / MULTI-TENANT-FIRST","InvestorOS",high,"Específicamente para construir el SaaS. Pinnacle es ejemplo (tenant cero) pero la regla es del SaaS."
S05,49,89,"### 1h. SOCIAL MEDIA — 3 TABLAS + BILINGÜE SEPARADO","Pinnacle",high,"Menciona base Airtable appU9s3kGkVpdrJkw (la de Pinnacle Social Media). Reglas de arquitectura aplican al SaaS pero el ejemplo concreto es Pinnacle."
S06,91,110,"### 1g. VIDEO LENGTH — TARGET 15s","Pinnacle;InvestorOS",medium,"Regla de Director v2 — aplica a cualquier tenant que genere video. Por ahora solo Pinnacle pero arquitectónica del SaaS."
S07,112,126,"### 1d. CREATIVO/DIRECTOR — PUPPETEER NO AI IMAGEN","Pinnacle;InvestorOS",high,"Decisión técnica sobre stack de imágenes — universal."
S08,128,176,"### 1e. UI/FRONTEND CRAFT — DESIGN TASTE SUITE","Pinnacle;InvestorOS",high,"Reglas de UI craft universales. Default aesthetic Pinnacle (homeowners) está mencionado pero el resto aplica a cualquier UI."
S09,178,205,"### 1f. CODEBASE INTELLIGENCE — graphify","Pinnacle;InvestorOS",high,"Regla universal de análisis de codebase."
S10,207,214,"### 1b. MOBILE-FIRST","Pinnacle",high,"Menciona 'real estate', 'homeowners', 'sell my house' — específico Pinnacle. Para InvestorOS aplica el principio mobile-first pero hay que reescribir el ejemplo."
S11,216,222,"### 2. Cost-benefit en tokens y tiempo","Pinnacle;InvestorOS",high,"Universal."
S12,223,225,"### 3. Autoridad y ejecución (luz verde permanente)","Pinnacle",high,"Menciona stack público de Pinnacle (webform, chatbot, bridges, MU-plugins). Específico de Pinnacle."
S13,227,233,"### 4. Diagnosticar antes de tocar código","Pinnacle;InvestorOS",high,"Protocolo universal."
S14,234,264,"### 5. Memoria SIEMPRE ACTIVA","Pinnacle;InvestorOS",high,"Regla universal pero los paths que cita (memoria_ALex.md, agents/, telegram_bot/) cambian según repo. Cada versión debe ajustar paths."
S15,266,275,"## INICIO DE SESIÓN — PROTOCOLO OBLIGATORIO","Pinnacle;InvestorOS",high,"Protocolo universal — los archivos a leer cambian según repo."
S16,277,289,"## MISIÓN Y FUNCIONES OPERATIVAS (análisis de deal)","Pinnacle",high,"Flujo real estate específico — Scout/Matemático/Fact-Checker para análisis de propiedad. InvestorOS tiene SU propio flujo orquestador (multi-tenant)."
S17,291,308,"## CÓMO INVOCAR SUB-AGENTES (flow real estate)","Pinnacle",high,"Sub-agentes Scout/Matemático/Fact-Checker/Tracy — real estate, Pinnacle. InvestorOS hereda la INFRAESTRUCTURA de agentes pero el flujo específico cambia."
S18,309,323,"## Flujo Social Media + templates Blotato","Pinnacle",high,"Menciona base Airtable Social Media + accountIds Blotato + Pinnacle aesthetic. Pinnacle puro."
S19,326,385,"## ACCESO DIRECTO A AIRTABLE (credenciales)","Pinnacle",high,"Token + Base ID + Table IDs de Pinnacle. CONFIDENCIAL — sanitizar antes de pushear a InvestorOS (incluso aunque la sección aplicara). PINNACLE puro."
S20,387,435,"## ESTRUCTURA ""ANÁLISIS ESTÁNDAR DE DEAL""","Pinnacle",high,"Formato real estate específico (ARV, Cap Rate, BRRRR). Aplica solo a tenants real estate; en InvestorOS sería un caso por-tenant."
S21,437,444,"## PRINCIPIOS FUNDAMENTALES","Pinnacle;InvestorOS",high,"Veracidad / sin alucinaciones / stress-test optimismo / patrones — universal."
S22,446,472,"## GESTIÓN DE MEMORIA — ARCHIVOS COMPARTIDOS","Pinnacle;InvestorOS",high,"Describe los archivos de memoria. Universal pero los paths cambian según repo (la versión Pinnacle citará PINNACLE_MEMORIA.md, la InvestorOS citará INVESTOROS_MEMORIA.md)."
S23,474,481,"## Git & Version Control","Pinnacle;InvestorOS",high,"Universal."
S24,483,509,"## PROTOCOLO DE SEGURIDAD Y AUTONOMÍA","Pinnacle;InvestorOS",high,"Regla universal. El path de alerta_telegram.sh (línea 507) menciona 'c:/Users/Admin/OneDrive/Documents/Claude for real estate/agents/alerta_telegram.sh' — debe actualizarse al path correcto en cada repo. CONFIDENCIAL: ninguna credencial aquí."
