section_id,start_line,end_line,heading,companies,confidence,note
S001,1,6,memoria_ALex.md - Memoria Persistente,Compartido,high,Encabezado general
S002,7,27,Cleanup completo tablas SM legacy,Pinnacle,high,Airtable appU9s3kGkVpdrJkw
S003,28,31,Mono-language render fix slidePostEditorial,Pinnacle,high,Fix pipeline social media Director v2
S004,32,55,Root cause + Fix + Leccion,Pinnacle,medium,Debugging social media publication
S005,56,108,Restructure SM completa 3 tablas,Pinnacle,high,Airtable schema appU9s3kGkVpdrJkw
S006,109,120,Decisiones arquitectonicas,Pinnacle,high,Post-restructure Airtable
S007,121,135,Reference video ID Director v2,Pinnacle,high,Director v2 estética Pinnacle
S008,136,159,El Oráculo wired como gate,Pinnacle;InvestorOS,high,Orquestacion Oráculo
S009,160,181,Arsenal completo 11 templates,Pinnacle,high,Social media templates
S010,182,255,ARSENAL DE TEMPLATES VIDEO,Pinnacle,high,11 video templates HeyGen
S011,256,368,ARSENAL VIDEO + Configuracion,Pinnacle,high,Director v2 HeyGen hybrid
S012,369,425,Plan B HeyGen Hybrid PRODUCTION,Pinnacle,high,Modal integration Director
S013,426,481,Plan A + Plan B VALIDADOS,Pinnacle,high,End-to-end validation HeyGen
S014,482,532,REGLAS DEL JEFE,Compartido,high,Reglas universales Jorge
S015,533,608,FER AI RECEPTIONIST,Pinnacle,high,Fer AI receptionist sub-agente
S016,609,626,DEAL ANALYSIS LOG + NOTES,Pinnacle,high,Operational notes Wisconsin
S017,627,730,BITACORA DE CAMBIOS,Pinnacle,high,Change log Telegram Hostinger
S018,731,763,ESTADO ACTUAL SISTEMA,Pinnacle,high,Status report all components
S019,764,790,Credenciales CONFIDENCIAL,Pinnacle,high,CONTIENE TOKEN - sanitizar
S020,791,855,TAREA PARA CLAUDE CODE,Pinnacle,high,CONTIENE TOKEN Blotato API
S021,856,899,Blotato MCP Configuracion,Pinnacle,high,FB IG Pinnacle 14 tools
S022,900,962,Posts Programados + Call Assistant,Pinnacle,high,CONTIENE TOKEN
S023,963,1001,LightRAG + Skills + SSH,Pinnacle,high,CONTIENE TOKEN pinnaclegroupwi
S024,1002,1054,TAREA CRITICA BLOTATO VPS,Pinnacle,high,VPS deployment
S025,1055,1142,SESION Make.com + Calendar,Pinnacle,high,CONTIENE API KEYS
S026,1143,1229,GEO CARPENTRY LLC,Geo,high,Company profile services market
S027,1230,1287,REGLA CRITICA OPTIMIZACION,Compartido,high,Model optimization universal
S028,1288,1308,Tracy Contacts anti-duplicados,Pinnacle;Geo,medium,Skip trace deduplication
