section_id,start_line,end_line,heading,companies,confidence,note
S1_INTRO_METADATA,1,7,METADATA Y CONTEXTO GENERAL,Compartido,high,ALEX Telegram Bot — memoria conversaciones — resúmenes automáticos — genérico para cualquier tenant
S2_2026_04_22_PINNACLE,8,25,2026-04-22 SESIÓN PINNACLE PUBLIC SITE,Pinnacle,high,Pinnacle webform /get-my-offer/ — chatbot Fer — pinnaclegroupwi.com — Contact page — Hostinger PHP backend — Airtable Pinnacle — docs comercialización
S3_MODO_GOD_UNIVERSAL,27,56,2026-04-22 MODO /GOD + OPERACIÓN PERMANENTE,Compartido,high,Arquitectura universal multi-agente — skills-first — cost-benefit tokens — luz verde Pinnacle pero reglas aplican cross-tenant — memoria autónoma — mobile-first — SAAS-ready multi-tenant
S4_2026_04_28_SUPERVISOR,59,71,2026-04-28 SESIÓN SUPERVISOR + FIX SPAM,Pinnacle,medium,Pinnacle Supervisor (Hostinger cron) — fix spam SMS repetido — Airtable Leads/Contacts — Telegram alertas — shared_conversation.json stale
S5_FASE1_SUPERVISOR,73,85,2026-04-28 PM FASE 1 SUPERVISOR AUTÓNOMO,Compartido,high,Supervisor auto-curativo genérico — Lessons_Learned tabla Airtable — recognition classifier — normalizer dedup — failure-tolerant
S6_FASE2_SUPERVISOR,88,100,2026-04-28/29 FASE 2 SUPERVISOR AUTÓNOMO,Compartido,high,LLM Diagnosis Sonnet 4.6 — confidence scoring — decision layer HIGH/MED/LOW — ~$0.60/día per tenant
S7_FASE3_SUPERVISOR,104,122,2026-04-29 FASE 3 SUPERVISOR AUTÓNOMO,Compartido,high,Auto-fix + rollback — whitelist conservadora — circuit breaker — 3+ worsened → freeze — max 5 fixes/run
S8_FASE4_SUPERVISOR,126,155,2026-04-29 FASE 4 SUPERVISOR AUTÓNOMO,Compartido,high,Self-modification PROPOSE-ONLY — draft PRs — validator anti-jailbreak — file whitelist estricta — forbidden patterns bloqueadas
S9_2026_05_02_DIRECTOR,159,176,2026-05-02 DIRECTOR V2 + SKILLS SUITE,Pinnacle,high,Director v2 Pinnacle reels (faceless + Pexels + Flux Schnell + ffmpeg + 5 music tracks Jorge) — 15 Design Taste Suite skills — Doppler creds — HeyGen pending — Pinnacle aesthetic editorial+warmth
S10_2026_05_08_INVESTOROS_APROBADO,181,205,2026-05-08 SESIÓN INVESTOROS + R9 + SPRINT 0,InvestorOS;Pinnacle,high,InvestorOS SaaS aprobado — Next.js + tRPC + Postgres + Tailwind + shadcn — multi-tenant RLS — Pinnacle=tenant0 — pricing 297/697/1497/3500+ — Sprint A/B 90 días — Track A social 77-85 posts/sem
S11_2026_05_08_VISION_3COMPANIES,208,222,2026-05-08 PM VISIÓN 3 COMPANIES + 8 FASES INVESTOROS,Pinnacle;InvestorOS;Geo,high,8 fases InvestorOS (Identidad/Captacion/Publicidad/CRM/Audit/GrowthFeedback/Attribution/Expansion) — 6 tenants Ola1 (Pinnacle/Geo/FC) → Ola2 (Nica Transports) → Ola3 (ADHD/Essenthia) — F1.1 Pinnacle brand_kit.json done — F2 Rastreador agent Pinnacle 70 tests — Geo Carpentry F1 brand_kit done — 10-13 semanas total
